zip,lat,lon,city,state_id,county_name,urls
30182,33.65549,-85.24598,Waco,GA,Carroll,http://www.rockethomes.com/real-estate-trends/GA/Waco
30183,34.33605,-84.60031,Waleska,GA,Cherokee,http://www.rockethomes.com/real-estate-trends/GA/Waleska
30184,34.25787,-84.72398,White,GA,Bartow,http://www.rockethomes.com/real-estate-trends/GA/White
30185,33.51982,-84.91018,Whitesburg,GA,Carroll,http://www.rockethomes.com/real-estate-trends/GA/Whitesburg
30187,33.66648,-84.852,Winston,GA,Douglas,http://www.rockethomes.com/real-estate-trends/GA/Winston
30188,34.11881,-84.45551,Woodstock,GA,Cherokee,http://www.rockethomes.com/real-estate-trends/GA/Woodstock
30204,33.05729,-84.12512,Barnesville,GA,Lamar,http://www.rockethomes.com/real-estate-trends/GA/Barnesville
30205,33.26848,-84.46663,Brooks,GA,Fayette,http://www.rockethomes.com/real-estate-trends/GA/Brooks
30206,33.09433,-84.46049,Concord,GA,Pike,http://www.rockethomes.com/real-estate-trends/GA/Concord
30212,33.2677,-84.28275,Experiment,GA,Spalding,http://www.rockethomes.com/real-estate-trends/GA/Experiment
30213,33.59148,-84.63726,Fairburn,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Fairburn
30214,33.49171,-84.48745,Fayetteville,GA,Fayette,http://www.rockethomes.com/real-estate-trends/GA/Fayetteville
30216,33.23701,-83.88471,Flovilla,GA,Butts,http://www.rockethomes.com/real-estate-trends/GA/Flovilla
30217,33.28598,-85.1303,Franklin,GA,Heard,http://www.rockethomes.com/real-estate-trends/GA/Franklin
30218,33.12743,-84.58358,Gay,GA,Meriwether,http://www.rockethomes.com/real-estate-trends/GA/Gay
30220,33.22505,-84.82432,Grantville,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Grantville
30222,33.04301,-84.74461,Greenville,GA,Meriwether,http://www.rockethomes.com/real-estate-trends/GA/Greenville
30223,33.28629,-84.27968,Griffin,GA,Spalding,http://www.rockethomes.com/real-estate-trends/GA/Griffin
30228,33.40449,-84.30545,Hampton,GA,Henry,http://www.rockethomes.com/real-estate-trends/GA/Hampton
30229,33.23054,-84.56994,Haralson,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Haralson
30233,33.2919,-83.96942,Jackson,GA,Butts,http://www.rockethomes.com/real-estate-trends/GA/Jackson
30234,33.32406,-84.03219,Jenkinsburg,GA,Butts,http://www.rockethomes.com/real-estate-trends/GA/Jenkinsburg
30236,33.52244,-84.32426,Jonesboro,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Jonesboro
30248,33.35142,-84.10775,Locust-Grove,GA,Henry,http://www.rockethomes.com/real-estate-trends/GA/Locust-Grove
30250,33.43662,-84.31423,Lovejoy,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Lovejoy
30251,33.18817,-84.69729,Luthersville,GA,Meriwether,http://www.rockethomes.com/real-estate-trends/GA/Luthersville
30252,33.46968,-84.06239,Mcdonough,GA,Henry,http://www.rockethomes.com/real-estate-trends/GA/Mcdonough
30256,33.01415,-84.32024,Meansville,GA,Pike,http://www.rockethomes.com/real-estate-trends/GA/Meansville
30257,33.14313,-84.18404,Milner,GA,Lamar,http://www.rockethomes.com/real-estate-trends/GA/Milner
30258,32.98757,-84.46731,Molena,GA,Pike,http://www.rockethomes.com/real-estate-trends/GA/Molena
30259,33.26422,-84.74014,Moreland,GA,Coweta,http://www.rockethomes.com/real-estate-trends/GA/Moreland
30260,33.5849,-84.32918,Morrow,GA,Clayton,http://www.rockethomes.com/real-estate-trends/GA/Morrow
